#36864
#36300
#36300
#564
#0
   Index      Gx      Gy      Gz
     577   -8194     378   31723
     578   -8194    -378   31723
     579   -8124   -1133   31723
     580   -7985   -1878   31723
     581   -7778   -2606   31723
     582   -7504   -3313   31723
     583   -7166   -3991   31723
     584   -6767   -4636   31723
     585   -6311   -5240   31723
     586   -5800   -5800   31723
     587   -5240   -6311   31723
     588   -4636   -6767   31723
     589   -3991   -7166   31723
     590   -3313   -7504   31723
     591   -2606   -7778   31723
     592   -1878   -7985   31723
     593   -1133   -8124   31723
     594    -378   -8194   31723
     595     378   -8194   31723
     596    1133   -8124   31723
     597    1878   -7985   31723
     598    2606   -7778   31723
     599    3313   -7504   31723
     600    3991   -7166   31723
     601    4636   -6767   31723
     602    5240   -6311   31723
     603    5800   -5800   31723
     604    6311   -5240   31723
     605    6767   -4636   31723
     606    7166   -3991   31723
     607    7504   -3313   31723
     608    7778   -2606   31723
     609    7985   -1878   31723
     610    8124   -1133   31723
     611    8194    -378   31723
     612    8669     378   31597
     613    8603    1132   31597
     614    8471    1878   31597
     615    8275    2609   31597
     616    8016    3320   31597
     617    7696    4006   31597
     618    7318    4662   31597
     619    6884    5282   31597
     620    6397    5862   31597
     621    5862    6397   31597
     622    5282    6884   31597
     623    4662    7318   31597
     624    4006    7696   31597
     625    3320    8016   31597
     626    2609    8275   31597
     627    1878    8471   31597
     628    1132    8603   31597
     629     378    8669   31597
     630    -378    8669   31597
     631   -1132    8603   31597
     632   -1878    8471   31597
     633   -2609    8275   31597
     634   -3320    8016   31597
     635   -4006    7696   31597
     636   -4662    7318   31597
     637   -5282    6884   31597
     638   -5862    6397   31597
     639   -6397    5862   31597
     640   -6884    5282   31597
     641   -7318    4662   31597
     642   -7696    4006   31597
     643   -8016    3320   31597
     644   -8275    2609   31597
     645   -8471    1878   31597
     646   -8603    1132   31597
     647   -8669     378   31597
     648   -8669    -378   31597
     649   -8603   -1132   31597
     650   -8471   -1878   31597
     651   -8275   -2609   31597
     652   -8016   -3320   31597
     653   -7696   -4006   31597
     654   -7318   -4662   31597
     655   -6884   -5282   31597
     656   -6397   -5862   31597
     657   -5862   -6397   31597
     658   -5282   -6884   31597
     659   -4662   -7318   31597
     660   -4006   -7696   31597
     661   -3320   -8016   31597
     662   -2609   -8275   31597
     663   -1878   -8471   31597
     664   -1132   -8603   31597
     665    -378   -8669   31597
     666     378   -8669   31597
     667    1132   -8603   31597
     668    1878   -8471   31597
     669    2609   -8275   31597
     670    3320   -8016   31597
     671    4006   -7696   31597
     672    4662   -7318   31597
     673    5282   -6884   31597
     674    5862   -6397   31597
     675    6397   -5862   31597
     676    6884   -5282   31597
     677    7318   -4662   31597
     678    7696   -4006   31597
     679    8016   -3320   31597
     680    8275   -2609   31597
     681    8471   -1878   31597
     682    8603   -1132   31597
     683    8669    -378   31597
     684    9142     378   31463
     685    9079    1131   31463
     686    8955    1877   31463
     687    8769    2610   31463
     688    8524    3326   31463
     689    8220    4018   31463
     690    7860    4683   31463
     691    7446    5316   31463
     692    6982    5913   31463
     693    6470    6470   31463
     694    5913    6982   31463
     695    5316    7446   31463
     696    4683    7860   31463
     697    4018    8220   31463
     698    3326    8524   31463
     699    2610    8769   31463
     700    1877    8955   31463
     701    1131    9079   31463
     702     378    9142   31463
     703    -378    9142   31463
     704   -1131    9079   31463
     705   -1877    8955   31463
     706   -2610    8769   31463
     707   -3326    8524   31463
     708   -4018    8220   31463
     709   -4683    7860   31463
     710   -5316    7446   31463
     711   -5913    6982   31463
     712   -6470    6470   31463
     713   -6982    5913   31463
     714   -7446    5316   31463
     715   -7860    4683   31463
     716   -8220    4018   31463
     717   -8524    3326   31463
     718   -8769    2610   31463
     719   -8955    1877   31463
     720   -9079    1131   31463
     721   -9142     378   31463
     722   -9142    -378   31463
