#36864
#36864
#36864
#0
#0
   Index      Gx      Gy      Gz
     385  -21477   20544   13794
     386   23157    9313  -21228
     387   -1344  -31396    9282
     388  -18094    9146  -25741
     389   25256   20323    4769
     390    3142  -12186  -30253
     391  -32278    5633     257
     392    6344    9314   30767
     393   16915  -27738   -4255
     394  -19457   -2393   26255
     395    9414   30135   -8767
     396   18300  -16310   21742
     397  -27380  -12149  -13280
     398     211   27870   17230
     399   24978  -11539  -17792
     400  -22845  -19748   12717
     401   -6809   23016  -22305
     402   31423   -4350    8205
     403  -10044  -15923  -26817
     404  -17919   27183    3692
     405    9476    1506  -31330
     406   -8660  -31591    -819
     407  -10665    8852   29691
     408   29071   14145   -5332
     409     579  -20961   25178
     410  -28815   12100   -9844
     411   18639   17296   20665
     412    9344  -27932  -14357
     413  -28359    2912   16153
     414   13485   23146  -18869
     415   17748  -24963   11640
     416  -22529   -4399  -23382
     417    7364   31122    7128
     418   13607  -10507  -27894
     419  -28848  -15315    2615
     420    -304    4832  -32407
     421   30588  -11594   -1896
     422  -11313  -11265   28614
     423  -11261   30095   -6409
     424   22148   -1488   24101
     425  -14602  -27224  -10921
     426  -15964   20858   19589
     427   28155    6535  -15434
     428   -5697  -28529   15076
     429  -21122   15153  -19946
     430   26866   15500   10564
     431    2135  -21699  -24459
     432  -30495   10347    6051
     433   10460   11176  -28971
     434   12543  -30231    1539
     435   -6814     217   32049
     436   14401   29281   -2973
     437   11283  -13713   27537
     438  -30801   -8302   -7485
     439    3757   23008   23024
     440   25385  -16890  -11998
     441  -22928  -14327   18512
     442   -3761   28051  -16510
     443   28372   -8525   13999
     444  -16517  -18943  -21023
     445  -13032   28527    9487
     446   20532      68  -25535
     447  -13261  -29547    4974
     448   -8653    9792  -30048
     449   31314    9636     462
     450   -1350  -10607   30973
     451  -27688   17047   -4050
     452   16019   10812   26460
     453    5305  -31180   -8562
     454  -23533    6176   21948
     455   18935   23327  -13075
     456   12409  -24813   17435
     457  -27626   -1065  -17587
     458   11354   27888   12923
     459   16647  -17552  -22100
     460  -29921  -10374    8410
     461    1745   19036  -26612
     462   28287  -16070    3897
     463   -8281   -6025  -31125
     464   -6629   32083    -614
     465   13084   -2945   29896
     466  -19499  -25829   -5127
     467   -9915   18194   25383
     468   31231    2307   -9639
     469   -8695  -23716   20871
     470  -21079   20713  -14152
     471   26480   10239   16358
     472   -1513  -26889  -18664
     473  -27078   14146   11846
     474   18238   14277  -23177
     475    7559  -31028    7333
     476  -17217    3243  -27689
     477   18739   26731    2821
     478    3084   -5214  -32202
     479  -32529   -3559   -1691
     480    4848   14819   28819
     481   23729  -21728   -6203
     482  -20203   -8641   24306
     483     650   30958  -10716
     484   23555  -11268   19794
     485  -22201  -18677  -15228
     486   -7848   27902   15281
     487   25854   -3933  -19741
     488  -16860  -25950   10769
     489  -11878   18556  -24253
     490   31830    4622    6256
     491   -4350  -15074  -28766
     492  -24895   21233    1744
     493    5221    2454   32255
     494     464  -32646   -2768
     495  -15984    6965   27742
     496   23708   21414   -7280
     497    7037  -22011   23230
     498  -30366    3531  -11793
     499   13849   23054   18717
     500   16156  -23383  -16305
     501  -29053   -5269   14205
     502    6156   24543  -20818
     503   24515  -19460    9692
     504  -18487   -9499  -25330
     505   -1599   32315    5180
     506   12585   -4965  -29843
     507  -23522  -22801     667
     508   -3405    9486   31178
     509   32435   -2618   -3844
     510   -9225  -16658   26665
     511  -18917   25415   -8357
     512   23589    5142   22153
     513   -6297  -29468  -12870
     514  -22218   16395   17640
     515   24243   13556  -17382
     516    2538  -29914   13128
     517  -22978    8141  -21895
     518   21910   22789    8615
     519    7193  -18016  -26407
     520  -32475    1473    4103
     521    4916    9666  -30920
     522   20476  -25577    -409
     523  -12543   -3201   30101
     524    5650   31898   -4921
     525   16885  -11565   25588
     526  -26832  -16269   -9434
     527   -3000   24908   21076
     528   28279   -8912  -13946
     529  -18864  -21058   16563
     530  -10917   24773  -18459
     531   30468    -307   12051
     532   -9853  -21186  -22971
     533  -20792   24176    7538
     534   17120    5017  -27484
     535   -4556  -32307    3026
     536   -5963    3783  -31996
     537   27374   17946   -1486
     538    2349  -15024   29024
     539  -31045    8595   -5998
     540   13929   16697   24512
     541   13508  -27941  -10511
     542  -25947    -651   19999
     543   11341   26820  -15023
     544   19588  -21216   15487
     545  -24968   -8283  -19536
     546    3232   30704   10974
     547   19201  -11252  -24048
     548  -26227  -18547    6462
     549   -3038   15770  -28561
     550   31810   -7611    1949
     551   -2742   -3533   32460
     552  -15244   28891   -2562
     553   17074    1031   27947
     554  -11415  -29887   -7075
     555  -16118   16268   23435
     556   28732   10669  -11587
     557   -1861  -26685   18922
     558  -25115   13552  -16100
     559   23413   17827   14410
     560    5696  -24826  -20612
     561  -30615    6194    9897
     562   12303   17058  -25125
     563   16081  -28036    5385
     564  -13909   -1333  -29638
     565   10602   30991     872
     566    6862   -6454   31383
     567  -30109  -12403   -3639
     568     645   18740   26870
     569   28442  -14078   -8152
     570  -18535  -15172   22358
     571   -7791   29198  -12664
     572   27110   -4498   17845
     573  -15515  -23192  -17177
     574  -15797   25423   13333
     575   24350    3203  -21689
     576   -9157  -30199    8820
     577  -14797   12967  -26202
     578   29579   13422    4308
     579       9  -11413  -30714
     580  -29859   13492    -204
     581    9355    8225   30306
     582    9458  -31015   -4716
     583  -20038    2603   25794
     584   16551   26731   -9229
     585   13886  -20686   21281
     586  -29337   -4915  -13741
     587    7215   27210   16769
     588   21083  -17203  -18254
     589  -27213  -13523   12256
     590    -848   23550  -22766
     591   29457  -12080    7744
     592  -13202  -12458  -27279
     593  -10603   30834    3231
     594    7900    -744  -31791
     595  -16245  -28427   -1280
     596   -8681   11996   29229
     597   31600    6446   -5793
     598   -4777  -20973   24717
     599  -24777   18803  -10305
     600   22682   12286   20204
     601    2080  -29150  -14818
     602  -26981    9970   15692
     603   18591   18824  -19330
     604   11035  -28755   11179
     605  -22437    1319  -23843
     606   14926   28397    6667
     607   10088  -12955  -28355
     608  -31786   -7659    2154
     609     483    2531   32665
     610   26713  -18827   -2357
     611  -14451   -8499   28153
     612   -3404   31857   -6870
     613   21546   -7110   23640
     614  -20807  -22608  -11382
     615  -10401   24487   19127
     616   28645    -674  -15895
     617  -12722  -26423   14615
     618  -16453   19658  -20407
     619   30027    8364   10102
     620   -3253  -21025  -24920
     621  -27029   17659    5590
     622   12148    7733  -29432
     623    4624  -32421    1077
     624   -8360    2435   31588
     625   21209   24739   -3434
     626    7808  -16720   27076
     627  -31786    -371   -7947
     628    9547   21757   22563
     629   20257  -22540  -12459
     630  -26068   -8261   18051
     631    3308   27833  -16972
     632   25539  -15430   13538
     633  -20389  -14012  -21484
     634   -5543   31007    9026
     635   19333   -4901  -25997
     636  -20242  -25368    4513
     637   -5435   10644  -30509
     638   32730    1536       1
     639   -4411  -11101   30511
     640  -22530   23360   -4511
     641   18786    6690   25999
     642   -2613  -31391   -9023
     643  -21611   12039   21486
     644   23982   17756  -13536
     645    5900  -27399   16974
     646  -26729    5783  -18048
     647   18055   24338   12461
     648   11544  -20769  -22561
     649  -31680   -2608    7949
     650    6208   17381  -27073
     651   23433  -22643    3436
     652   -8103   -3211  -31586
     653    1566   32711   -1075
     654   12815   -6559   29435
     655  -25256  -20114   -5588
     656   -5208   20625   24922
     657   30679   -5514  -10100
     658  -14538  -21112   20410
     659  -15142   25116  -14613
     660   28455    3354   15897
     661   -8061  -25355  -19125
     662  -22833   20559   11385
     663   20787    9098  -23638
     664    -404  -32035    6872
     665  -15187    7109  -28150
     666   24832   21247    2359
     667     726   -2501  -32663
     668  -32364    4647   -2152
     669    8828   13839   28358
     670   17522  -26874   -6665
     671  -22212   -3415   23845
     672    8293   29664  -11177
     673   20271  -16998   19333
     674  -25930  -12454  -15690
     675    -660   29216   14820
     676   23735  -10108  -20202
     677  -22905  -21041   10308
     678   -6722   20436  -24715
     679   32064   -3457    5795
     680   -7521  -12761  -29227
     681  -18837   26780    1283
     682    7786    1479   31793
     683   -7668  -31692   -3229
     684  -14309   11164   27281
     685   28196   14787   -7741
     686    1361  -23524   22768
     687  -28361   10915  -12254
     688   19378   19101   18256
     689    9733  -26416  -16766
     690  -29667    2145   13743
     691   11888   21898  -21279
     692   18982  -25062    9231
     693  -19709   -4470  -25791
     694    6510   31765    4718
     695   10089   -7315  -30304
     696  -28463  -16230     206
     697   -1059   11358   30717
     698   30707  -10592   -4306
     699  -13514  -14294   26204
     700  -11946   29209   -8818
     701   24541    -907   21692
     702  -13346  -26792  -13331
     703  -17619   21635   17179
     704   26570    7018  -17843
     705   -5021  -29799   12667
     706  -19877   13370  -22356
     707   26998   16681    8154
     708    2398  -18600  -26868
     709  -31138    9528    3642
     710    6232    7075  -31381
     711   13459  -29862    -870
     712  -13968      24   29640
     713   13383   29420   -5382
     714   13845  -15829   25127
     715  -29901   -9036   -9895
     716    3345   25248   20615
     717   24982  -15555  -14408
     718  -23733  -15845   16102
     719   -4354   26395  -18920
     720   29605   -7930   11590
     721  -14524  -17709  -23433
     722  -14165   28686    7077
     723   17099     572  -27945
     724  -12470  -30192    2565
     725   -3072    3272  -32458
     726   30957   10558   -1947
     727   -1547  -15981   28563
     728  -27850   16009   -6459
     729   18061   13000   24050
     730    6094  -30267  -10972
     731  -25632    5906   19538
     732   17514   22959  -15484
     733   13804  -25638   15025
     734  -25896   -1782  -19997
     735   10830   29083   10513
     736   15434  -15320  -24509
     737  -30103  -11465    6000
     738     931   15182  -29022
     739   28935  -15303    1488
     740   -5574   -4318   31999
     741   -7562   31738   -3024
     742   17511   -3390   27486
     743  -18436  -26018   -7536
     744  -11793   20168   22974
     745   30306    3161  -12049
     746   -8548  -25686   18461
     747  -20755   19198  -16561
